funcion,n,tiempo
sumar_tupla,100000,0.00600
sumar_objeto,100000,0.02900
sumar_usando_yield,100000,0.00400
sumar_conjunto,100000,0.00500
sumar_valores_diccionario,100000,0.01099
sumar_numpy_array,100000,0.00000
sumar_pandas_series,100000,0.00151
sumar_lista,1000000,0.07910
sumar_tupla,1000000,0.08580
sumar_objeto,1000000,0.33088
sumar_usando_yield,1000000,0.05255
sumar_conjunto,1000000,0.05863
sumar_valores_diccionario,1000000,0.08402
sumar_numpy_array,1000000,0.00205
sumar_pandas_series,1000000,0.00431
sumar_lista,5000000,0.40313
sumar_tupla,5000000,0.43963
sumar_objeto,5000000,3.58287
sumar_usando_yield,5000000,0.35210
sumar_conjunto,5000000,0.29163
sumar_valores_diccionario,5000000,1.10277
