funcion,n,tiempo
sumar_usando_yield,100000,0.0033223628997802734
sumar_conjunto,100000,0.004074573516845703
sumar_valores_diccionario,100000,0.005256175994873047
sumar_numpy_array,100000,0.00015544891357421875
sumar_pandas_series,100000,0.00026607513427734375
sumar_polars_series,100000,0.0025680065155029297
sumar_lista,1000000,0.04173588752746582
sumar_tupla,1000000,0.0541529655456543
sumar_objeto,1000000,0.7477989196777344
sumar_usando_yield,1000000,0.02861499786376953
sumar_conjunto,1000000,0.04781055450439453
sumar_valores_diccionario,1000000,0.07382440567016602
sumar_numpy_array,1000000,0.0011296272277832031
sumar_pandas_series,1000000,0.0009622573852539062
sumar_polars_series,1000000,0.041797637939453125
sumar_lista,5000000,0.1992785930633545
sumar_tupla,5000000,0.23960208892822266
sumar_objeto,5000000,3.71696400642395
sumar_usando_yield,5000000,0.14995527267456055
sumar_conjunto,5000000,0.2594716548919678
sumar_valores_diccionario,5000000,0.38631343841552734
sumar_numpy_array,5000000,0.007603645324707031
sumar_pandas_series,5000000,0.009105682373046875
sumar_polars_series,5000000,0.21179604530334473
sumar_lista,10,6.9141387939453125e-06
sumar_tupla,10,4.5299530029296875e-06
sumar_objeto,10,3.2901763916015625e-05
sumar_usando_yield,10,3.5762786865234375e-06
sumar_conjunto,10,3.5762786865234375e-06
sumar_valores_diccionario,10,4.76837158203125e-06
sumar_numpy_array,10,5.245208740234375e-05
sumar_pandas_series,10,0.0002193450927734375
sumar_polars_series,10,0.00010991096496582031
sumar_lista,1000,5.5789947509765625e-05
sumar_tupla,1000,4.124641418457031e-05
sumar_objeto,1000,0.0003204345703125
sumar_usando_yield,1000,3.1948089599609375e-05
sumar_conjunto,1000,2.193450927734375e-05
sumar_valores_diccionario,1000,4.696846008300781e-05
sumar_numpy_array,1000,2.09808349609375e-05
sumar_pandas_series,1000,0.00015044212341308594
sumar_polars_series,1000,0.000110626220703125
sumar_lista,10000,0.00023674964904785156
sumar_tupla,10000,0.00031447410583496094
sumar_objeto,10000,0.002547740936279297
sumar_usando_yield,10000,0.0005483627319335938
sumar_conjunto,10000,0.00029587745666503906
sumar_valores_diccionario,10000,0.00042724609375
sumar_numpy_array,10000,7.200241088867188e-05
sumar_pandas_series,10000,0.00016427040100097656
sumar_polars_series,10000,0.00031375885009765625
sumar_lista,100000,0.002460956573486328
sumar_tupla,100000,0.003772735595703125
sumar_objeto,100000,0.07442402839660645
sumar_usando_yield,100000,0.003180265426635742
sumar_conjunto,100000,0.002756834030151367
sumar_valores_diccionario,100000,0.004271507263183594
sumar_numpy_array,100000,0.00015282630920410156
sumar_pandas_series,100000,0.0002796649932861328
sumar_polars_series,100000,0.002969026565551758
sumar_lista,1000000,0.03482937812805176
sumar_tupla,1000000,0.04832124710083008
sumar_objeto,1000000,0.9997191429138184
sumar_usando_yield,1000000,0.03116750717163086
sumar_conjunto,1000000,0.0524592399597168
sumar_valores_diccionario,1000000,0.0776679515838623
sumar_numpy_array,1000000,0.0014989376068115234
sumar_pandas_series,1000000,0.0010347366333007812
sumar_polars_series,1000000,0.04271388053894043
sumar_lista,5000000,0.20277738571166992
sumar_tupla,5000000,0.2551548480987549
sumar_objeto,5000000,4.369022846221924
sumar_usando_yield,5000000,0.14606881141662598
sumar_conjunto,5000000,0.2722287178039551
sumar_valores_diccionario,5000000,0.38483333587646484
sumar_numpy_array,5000000,0.00695490837097168
sumar_pandas_series,5000000,0.005960226058959961
sumar_polars_series,5000000,0.20531368255615234
