funcion,n,tiempo
sumar_lista,5000000,0.3447296619415283
sumar_tupla,5000000,0.4562060832977295
sumar_objeto,5000000,5.0166332721710205
sumar_usando_yield,5000000,0.27443647384643555
sumar_conjunto,5000000,0.36200523376464844
sumar_valores_diccionario,5000000,0.5290207862854004
sumar_numpy_array,5000000,0.01235508918762207
sumar_pandas_series,5000000,0.013376951217651367
sumar_polars_series,5000000,0.41895604133605957
sumar_lista,10,7.3909759521484375e-06
sumar_tupla,10,7.867813110351562e-06
sumar_objeto,10,4.100799560546875e-05
sumar_usando_yield,10,5.245208740234375e-06
sumar_conjunto,10,7.62939453125e-06
sumar_valores_diccionario,10,8.106231689453125e-06
sumar_numpy_array,10,7.390975952148438e-05
sumar_pandas_series,10,0.00040435791015625
sumar_polars_series,10,0.00033164024353027344
sumar_lista,1000,8.7738037109375e-05
sumar_tupla,1000,0.00011539459228515625
sumar_objeto,1000,0.0006437301635742188
sumar_usando_yield,1000,0.00010323524475097656
sumar_conjunto,1000,5.793571472167969e-05
sumar_valores_diccionario,1000,0.00010442733764648438
sumar_numpy_array,1000,8.296966552734375e-05
sumar_pandas_series,1000,0.0004169940948486328
sumar_polars_series,1000,0.0004343986511230469
sumar_lista,10000,0.0005319118499755859
sumar_tupla,10000,0.0006520748138427734
sumar_objeto,10000,0.003929853439331055
sumar_usando_yield,10000,0.0005633831024169922
sumar_conjunto,10000,0.0005209445953369141
sumar_valores_diccionario,10000,0.0007874965667724609
sumar_numpy_array,10000,7.152557373046875e-05
sumar_pandas_series,10000,0.0003120899200439453
sumar_polars_series,10000,0.0007450580596923828
sumar_lista,100000,0.004376411437988281
sumar_tupla,100000,0.007059335708618164
sumar_objeto,100000,0.04335665702819824
sumar_usando_yield,100000,0.0061032772064208984
sumar_conjunto,100000,0.00598454475402832
sumar_valores_diccionario,100000,0.01601552963256836
sumar_numpy_array,100000,0.0002791881561279297
sumar_pandas_series,100000,0.0005877017974853516
sumar_polars_series,100000,0.008935213088989258
sumar_lista,1000000,0.07823014259338379
sumar_tupla,1000000,0.11298251152038574
sumar_objeto,1000000,0.6442079544067383
sumar_usando_yield,1000000,0.06678199768066406
sumar_conjunto,1000000,0.11014294624328613
sumar_valores_diccionario,1000000,0.14076828956604004
sumar_numpy_array,1000000,0.0027244091033935547
sumar_pandas_series,1000000,0.0028536319732666016
sumar_polars_series,1000000,0.08196043968200684
sumar_lista,5000000,0.378753662109375
sumar_tupla,5000000,0.44977807998657227
sumar_objeto,5000000,5.3637096881866455
sumar_usando_yield,5000000,0.2870621681213379
sumar_conjunto,5000000,0.33782052993774414
sumar_valores_diccionario,5000000,0.7674195766448975
sumar_numpy_array,5000000,0.016104936599731445
sumar_pandas_series,5000000,0.015041828155517578
sumar_polars_series,5000000,0.47688722610473633
